item_objectid,metadata,category,image
01QNNkIIPd,"{'size': 'WMN-EU-28', 'type': 'Jeans', 'brand': 'Monki', 'color': ['Black'], 'pattern': 'Monochrome', 'material': ['Cotton'], 'pantsFit': 'Straight', 'condition': 'Good', 'productId': '0805610', 'waistRise': 'High', 'demography': 'Women', 'measurement': {'waistInCm': 72}}",Clothing > Pants & Jeans > Jeans,https://prod.files.sellpy.net/photoRobot-hanging-westlicht-g-3/01QNNkIIPd-0929-0.jpg
01SzImFE7i,"{'size': 'WMN-INT-S', 'type': 'Dress', 'brand': 'Reserved', 'color': ['Black', 'Pink'], 'material': ['Elastane', 'Viscose', 'Polyamide'], 'neckline': 'Round neck', 'condition': 'Very good', 'demography': 'Women', 'garmentLength': 'Mini'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-hartman-g-2/01SzImFE7i-4084-0.jpg
01x08t94Ma,"{'size': 'WMN-INT-M', 'type': 'Hoodie', 'brand': 'Monki', 'color': ['Black'], 'defects': [{'id': '2205346658', 'type': 'Pilling'}], 'pattern': 'Monochrome', 'material': ['Cotton', 'Polyester', 'Elastane'], 'condition': 'Acceptable', 'productId': '0483106', 'variantId': '0483106008000', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Sweaters & Cardigans > Hoodies & Sweatshirts,https://prod.files.sellpy.net/photoRobot-standard-ostlicht-g-3/01x08t94Ma-6a2a-0.jpg
02aYZiD8qB,"{'size': 'WMN-INT-L', 'type': 'Sweater', 'brand': 'Weekday', 'color': ['Gray'], 'pattern': 'Monochrome', 'material': ['Cotton', 'Polyester'], 'condition': 'Good', 'demography': 'Women'}",Clothing > Sweaters & Cardigans > Sweaters,https://prod.files.sellpy.net/photoRobot-standard-williams-g-4/02aYZiD8qB-a90c-0.jpg
02CZaIaWHe,"{'size': 'WMN-INT-M', 'type': 'Maxi dress', 'brand': '365 Three-sixty-five', 'color': ['Red'], 'pattern': 'Other', 'material': ['Polyester'], 'neckline': 'V-neck', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Short sleeves', 'garmentLength': 'Maxi'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-ostlicht-g-3/02CZaIaWHe-3289-0.jpg
02eiPeWLmu,"{'size': 'MEN-INT-S', 'type': 'Hoodie', 'brand': 'Levi Strauss & Co', 'color': ['Gray'], 'pattern': 'Other', 'condition': 'Good', 'demography': 'Unisex (Adults)', 'sleeveLength': 'Long sleeves'}",Clothing > Sweaters & Cardigans > Hoodies & Sweatshirts,https://prod.files.sellpy.net/photoRobot-standard-marta-g-4/02eiPeWLmu-4001-0.jpg
02eReXehP7,"{'size': 'WMN-EU-40', 'type': 'Shirt', 'brand': 'Holly & Whyte by Lindex', 'color': ['Blue'], 'material': ['Cotton'], 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Shirts & Blouses > Shirts,https://prod.files.sellpy.net/photoRobot-standard-staley-g-2/02eReXehP7-98cd-0.jpg
02hCO3q1Jx,"{'size': 'WMN-INT-S', 'type': 'Hotpants', 'brand': 'Divided by H&M', 'color': ['Black'], 'pattern': 'Monochrome', 'material': ['Cotton', 'Elastane'], 'condition': 'Good', 'demography': 'Women'}",Clothing > Shorts,https://prod.files.sellpy.net/photoRobot-hanging-westlicht-g-3/02hCO3q1Jx-a739-0.jpg
02I4UgDtTn,"{'size': 'WMN-INT-M', 'type': 'Sweater', 'brand': 'H&M', 'color': ['Gray'], 'fabric': 'Fine knit', 'pattern': 'Monochrome', 'material': ['Acrylic', 'Viscose'], 'condition': 'Good', 'productId': '0221132', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Sweaters & Cardigans > Sweaters,https://prod.files.sellpy.net/photoRobot-standard-monroe-g-2/02I4UgDtTn-1c4c-0.jpg
02l2MTTTIF,"{'size': 'WMN-INT-XS', 'type': 'Lightweight jacket', 'brand': 'Odd Molly', 'color': ['Pink'], 'model': '851', 'defects': [{'id': '2217300675', 'type': 'Dirty', 'location': 'Collar/neckline'}, {'id': '3443944299', 'type': 'Dirty', 'location': 'Whole item'}], 'material': ['Polyester'], 'condition': 'Acceptable', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Jackets & Outerwear > All round jackets,https://prod.files.sellpy.net/photoRobot-standard-faber-g-3/02l2MTTTIF-2c64-0.jpg
02oyzf6ER6,"{'size': 'WMN-EU-42', 'type': 'Blouse', 'brand': 'Bodyflirt', 'color': ['White', 'Black'], 'pattern': 'Snake skin', 'material': ['Polyester', 'Elastane'], 'neckline': 'Round neck', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Shirts & Blouses > Blouses,https://prod.files.sellpy.net/photoRobot-standard-monroe-g-2/02oyzf6ER6-51ea-0.jpg
02VKaNCDOI,"{'size': 'CHILD-CM-98/104', 'type': 'Rain pants', 'brand': 'Everest', 'color': ['Black'], 'defects': [{'id': '3113057976', 'type': 'Stains', 'location': 'Inside'}, {'id': '1045793019', 'type': 'Dirty', 'location': 'Ankles'}], 'pattern': 'Monochrome', 'material': ['Polyurethane', 'Polyester'], 'condition': 'Acceptable', 'demography': 'Unisex (Kids)'}",Clothing > Pants & Jeans > Outerwear,https://prod.files.sellpy.net/photoRobot-hanging-levine/02VKaNCDOI-934c-0.jpg
02wJnEIEHF,"{'type': 'Book', 'brand': 'Ponto Pocket', 'model': 'Fallen Ängel', 'condition': 'Normal'}",Media & Gaming > Books & Magazines,https://sellpy-parse-prod-files.s3.eu-west-1.amazonaws.com/phone-images/02wJnEIEHF-ffea.jpg
03AHkeWLxk,"{'size': 'WMN-INT-S', 'type': 'Top', 'brand': 'Calvin Klein', 'color': ['Yellow'], 'defects': [{'id': '1301404506', 'type': 'Discolored', 'location': 'Armpit(s)'}], 'pattern': 'Monochrome', 'material': ['Polyester', 'Elastane'], 'neckline': 'Round neck', 'condition': 'Acceptable', 'demography': 'Women', 'sleeveLength': 'Sleeveless'}",Clothing > Tops,https://prod.files.sellpy.net/photoRobot-standard-fotohof-g-1/03AHkeWLxk-6cdc-0.jpg
03IhxYtf0n,"{'size': 'SHOES-EU-41', 'type': 'Heeled boots', 'brand': 'WHYRED', 'color': ['Brown'], 'material': ['Suede'], 'condition': 'Good', 'demography': 'Women'}",Shoes > Boots,https://prod.files.sellpy.net/photoRobot-case-zidane-g-4/03IhxYtf0n-0e8a-0.jpg
03lSKW2n9Y,"{'size': 'WMN-INT-M', 'type': 'Top', 'brand': 'Shein', 'color': ['Brown'], 'fabric': 'Ribbed knit', 'material': ['Polyester', 'Elastane'], 'neckline': 'Round neck', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Short sleeves'}",Clothing > Tops,https://prod.files.sellpy.net/photoRobot-standard-whitecube-g-6/03lSKW2n9Y-52d5-0.jpg
03m2TDaRip,"{'type': 'Carry-on suitcase', 'color': ['Black'], 'defects': [{'id': '3272217430', 'type': 'Stains', 'location': 'Inside'}], 'pattern': 'Monochrome', 'condition': 'Very good', 'demography': 'Unisex (Adults)', 'measurement': {'depthInCm': 18, 'widthInCm': 52, 'heightInCm': 35}}",Accessories > Bags,https://prod.files.sellpy.net/photoRobot-case-pixhouse-g-3/03m2TDaRip-e52b-0.jpg
03o8mLEEgg,"{'size': 'WMN-EU-38', 'type': 'Jacket', 'brand': 'Jofama By Kenza', 'color': ['Yellow'], 'pattern': 'Monochrome', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Jackets & Outerwear > Jackets,https://prod.files.sellpy.net/photoRobot-standard-hartman-g-2/03o8mLEEgg-ec46-0.jpg
03XawQXFbU,"{'size': 'WMN-INT-XS', 'type': 'Sweat shorts', 'brand': 'Adidas', 'color': ['Gray'], 'pattern': 'Print', 'material': ['Polyester', 'Cotton'], 'condition': 'Good', 'productId': 'S97162', 'demography': 'Women'}",Clothing > Shorts,https://prod.files.sellpy.net/photoRobot-hanging-westlicht-g-3/03XawQXFbU-fb8e-0.jpg
047dbf0cU4,"{'size': 'CHILD-CM-122/128', 'type': 'Sweatpants', 'brand': 'Cubus', 'color': ['Gray', 'Black'], 'fabric': 'French Terry', 'pattern': 'Other', 'material': ['Organic cotton', 'Elastane', 'Viscose'], 'condition': 'Good', 'demography': 'Girls'}",Clothing > Pants & Jeans > Pants,https://prod.files.sellpy.net/photoRobot-hanging-photology-g-1/047dbf0cU4-a556-0.jpg
049qmAko5e,"{'size': 'WMN-INT-XS', 'type': 'T-shirt', 'brand': 'GANT', 'color': ['Gray'], 'pattern': 'Monochrome', 'material': ['Cotton'], 'neckline': 'Round neck', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Short sleeves'}",Clothing > T-shirts & Tank tops > Short-sleeved,https://prod.files.sellpy.net/photoRobot-standard-eye-g-2/049qmAko5e-11d8-0.jpg
04Dn6VjTrM,"{'size': 'CHILD-CM-92', 'type': 'Outer vest', 'brand': 'Name It', 'color': ['Blue'], 'defects': [{'id': '4974750726', 'type': 'Stains', 'location': 'Front'}], 'pattern': 'Other', 'material': ['Polyester'], 'condition': 'Acceptable', 'demography': 'Unisex (Kids)', 'sleeveLength': 'Sleeveless'}",Clothing > Jackets & Outerwear > Down & Padded Jackets,https://prod.files.sellpy.net/photoRobot-fixed-snap-g-2/04Dn6VjTrM-a27e-0-timed-sequence.jpg
04NmjKcRFa,"{'size': 'WMN-INT-S', 'type': 'Sports bra', 'brand': 'Stronger', 'color': ['Green'], 'pattern': 'Monochrome', 'material': ['Elastane', 'Polyester'], 'condition': 'Good', 'demography': 'Women'}",Clothing > Sportswear > Tops,https://prod.files.sellpy.net/photoRobot-fixed-polka-g-1/04NmjKcRFa-3e08-0-timed-sequence.jpg
04WBO47R3C,"{'size': 'WMN-EU-38', 'type': 'Maxi skirt', 'brand': 'Ellos', 'color': ['Black', 'Multicolored'], 'pattern': 'Floral', 'condition': 'Good', 'demography': 'Women', 'measurement': {'waistInCm': 72}, 'garmentLength': 'Maxi'}",Clothing > Skirts,https://prod.files.sellpy.net/photoRobot-hanging-open-g-2/04WBO47R3C-499a-0.jpg
04YuEpjfIM,"{'type': 'Shoulder-bag', 'brand': 'Vezzano', 'color': ['Brown'], 'defects': [{'id': '4810700636', 'type': 'Part missing', 'location': 'Metal detail'}], 'pattern': 'Monochrome', 'material': ['Leather'], 'condition': 'Good', 'demography': 'Unisex (Adults)', 'measurement': {'depthInCm': 5, 'widthInCm': 22, 'heightInCm': 25}}",Accessories > Bags,https://prod.files.sellpy.net/photoRobot-fixed-morat-g-3/04YuEpjfIM-7726-0-timed-sequence.jpg
056LYSDnkd,"{'size': 'WMN-EU-36', 'type': 'Top', 'brand': 'Shein', 'color': ['Beige'], 'fabric': 'Ribbed knit', 'pattern': 'Monochrome', 'material': ['Viscose', 'Nylon'], 'neckline': 'V-neck', 'condition': 'Very good', 'demography': 'Women'}",Clothing > Tops,https://prod.files.sellpy.net/photoRobot-standard-Boone/056LYSDnkd-659e-0.jpg
05eG3mx7JN,"{'size': 'WMN-INT-XS', 'type': 'Sports tights', 'brand': 'ICANIWILL', 'color': ['Gray'], 'condition': 'Good', 'demography': 'Women'}",Clothing > Sportswear > Bottoms,https://prod.files.sellpy.net/photoRobot-hanging-esther-g-1/05eG3mx7JN-7da3-0.jpg
05uDaOBFdM,"{'size': 'WMN-INT-S', 'type': 'Dress', 'brand': 'Pont Neuf', 'color': ['White', 'Blue'], 'pattern': 'Striped', 'material': ['Elastane', 'Viscose'], 'neckline': 'Round neck', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Short sleeves', 'garmentLength': 'Midi'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-monroe-g-2/05uDaOBFdM-bbf7-0.jpg
06Bmwkt1Vu,"{'size': 'CHILD-CM-62', 'type': 'Body', 'brand': 'Newborn by Lindex', 'color': ['White', 'Green'], 'defects': [{'id': '2398795738', 'type': 'Washed out'}], 'pattern': 'Striped', 'material': ['Organic cotton'], 'condition': 'Acceptable', 'demography': 'Boys'}",Clothing > Jumpsuits & Sets > Jumpsuits,https://prod.files.sellpy.net/photoRobot-fixed-polka-g-1/06Bmwkt1Vu-464c-0-timed-sequence.jpg
06cRKCCOA6,"{'type': 'Poster', 'extra': '+ box', 'motif': 'Human', 'condition': 'Good', 'measurement': {'widthInCm': 47, 'lengthInCm': 67}}",Furniture & Decor > Wall decorations > Posters,https://prod.files.sellpy.net/photoRobot-manual-milo-g-3/06cRKCCOA6-ea94-single.jpg
06dBkv0WCm,"{'size': 'WMN-INT-S', 'type': 'Sweatshirt', 'brand': 'Lee', 'color': ['Blue'], 'pattern': 'Print', 'material': ['Cotton'], 'neckline': 'Round neck', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Sweaters & Cardigans > Hoodies & Sweatshirts,https://prod.files.sellpy.net/photoRobot-standard-fait-g-1/06dBkv0WCm-06e5-0.jpg
06F82Df1E8,"{'size': 'MEN-INT-M', 'type': 'Denim shorts', 'brand': 'S.C.W. Made for you', 'color': ['Blue'], 'pattern': 'Monochrome', 'material': ['Cotton', 'Polyester', 'Viscose', 'Elastane'], 'condition': 'Very good', 'demography': 'Men', 'measurement': {'waistInCm': 84}, 'sizeEstimated': True}",Clothing > Shorts,https://prod.files.sellpy.net/photoRobot-hanging-photology-g-1/06F82Df1E8-ee7e-0.jpg
06L5k74u0z,"{'size': 'MEN-INT-XL', 'type': 'Hoodie', 'brand': 'Homebound', 'color': ['Blue'], 'defects': [{'id': '4046169476', 'type': 'Worn', 'location': 'Whole item'}], 'pattern': 'Monochrome', 'material': ['Polyester', 'Viscose'], 'condition': 'Good', 'demography': 'Men', 'sleeveLength': 'Long sleeves'}",Clothing > Sweaters & Cardigans > Hoodies & Sweatshirts,https://prod.files.sellpy.net/photoRobot-standard-stenmark-g-5/06L5k74u0z-9510-0.jpg
06mAXA6NYi,"{'size': 'WMN-INT-S', 'type': 'Sports shorts', 'brand': 'Reebok Crossfit', 'color': ['Black'], 'pattern': 'Other', 'material': ['Polyester'], 'condition': 'Good', 'demography': 'Women'}",Clothing > Sportswear > Bottoms,https://prod.files.sellpy.net/photoRobot-hanging-vonn-g-4/06mAXA6NYi-a361-180.jpg
06n9S5U6Lm,"{'size': 'WMN-INT-M', 'type': 'Dress', 'brand': 'Shein', 'color': ['White', 'Red'], 'pattern': 'Other', 'material': ['Viscose'], 'condition': 'Very good', 'demography': 'Women', 'sleeveLength': 'Sleeveless', 'garmentLength': 'Mini'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-calvaire-g-3/06n9S5U6Lm-e4df-0.jpg
06o3D1VOGg,"{'size': 'CHILD-CM-140', 'type': 'Jeans', 'brand': '&Denim by H&M', 'color': ['Gray'], 'pattern': 'Monochrome', 'material': ['Elastane', 'Cotton', 'Polyester'], 'condition': 'Good', 'demography': 'Girls'}",Clothing > Pants & Jeans > Jeans,https://prod.files.sellpy.net/photoRobot-hanging-magnum-g-3/06o3D1VOGg-39ae-0.jpg
06ROZ1Lb4P,"{'size': 'WMN-EU-42', 'type': 'Pussy bow blouse', 'brand': 'Gina Tricot', 'color': ['Black', 'Multicolored'], 'pattern': 'Floral', 'material': ['Polyester'], 'condition': 'Very good', 'demography': 'Women', 'sleeveLength': 'Three-quarter sleeve'}",Clothing > Shirts & Blouses > Blouses,https://prod.files.sellpy.net/photoRobot-standard-arte-g-1/06ROZ1Lb4P-270c-0.jpg
075NxcNQD8,"{'size': 'WMN-INT-M', 'type': 'Tank Top', 'brand': 'FB Sister', 'color': ['Blue', 'White'], 'pattern': 'Striped', 'material': ['Cotton'], 'neckline': 'V-neck', 'condition': 'Very good', 'demography': 'Women', 'sleeveLength': 'Sleeveless'}",Clothing > T-shirts & Tank tops > Short-sleeved,https://prod.files.sellpy.net/photoRobot-standard-borden-g-3/075NxcNQD8-a1e7-0.jpg
079AaLyDXl,"{'type': 'Sunglasses', 'brand': 'Örsten', 'color': ['Black'], 'defects': [{'id': '2301433771', 'type': 'Stains', 'location': 'Surface'}], 'condition': 'Acceptable', 'demography': 'Women', 'glassesFrameShape': 'Cat eye', 'prescriptionLenses': False}",Accessories > Glasses and optics > Sunglasses,https://prod.files.sellpy.net/photoRobot-manual-noble-g-2/079AaLyDXl-cdee-single.jpg
07BDn3KDQ0,"{'size': 'WMN-EU-38', 'type': 'Blazer', 'brand': 'Luxor', 'color': ['Pink'], 'pattern': 'Monochrome', 'material': ['Acetate', 'Polyester'], 'condition': 'Good', 'demography': 'Women', 'measurement': {'sleeveLengthInCm': 60, 'shoulderWidthInCm': 35}, 'sleeveLength': 'Long sleeves'}",Clothing > Blazers & Suits > Blazers,https://prod.files.sellpy.net/photoRobot-standard-borden-g-3/07BDn3KDQ0-c563-0.jpg
07bdNVUe38,"{'size': 'WMN-EU-38/40', 'type': 'Top', 'brand': 'Cellbes', 'color': ['Black'], 'pattern': 'Monochrome', 'material': ['Polyester', 'Elastane'], 'neckline': 'V-neck', 'condition': 'New', 'demography': 'Women', 'sleeveLength': 'Short sleeves'}",Clothing > Tops,https://prod.files.sellpy.net/photoRobot-standard-marta-g-4/07bdNVUe38-8f88-0.jpg
07bHxwPOYg,"{'size': 'SHOES-EU-37', 'type': 'High heels', 'brand': 'Giusti', 'color': ['Black'], 'defects': [{'id': '1329093868', 'type': 'Discolored', 'location': 'Front'}], 'condition': 'Acceptable', 'demography': 'Women'}",Shoes > Heels,https://prod.files.sellpy.net/photoRobot-case-zidane-g-4/07bHxwPOYg-76c9-0.jpg
07DmdJ3XVx,"{'size': 'SHOES-EU-31', 'type': 'Sneakers', 'brand': 'Puma', 'color': ['Black', 'Multicolored'], 'defects': [{'id': '1741873653', 'type': 'Dirty', 'location': 'Side'}], 'condition': 'Good', 'demography': 'Unisex (Kids)'}",Shoes > Sneakers,https://prod.files.sellpy.net/photoRobot-case-hasseb-g-7/07DmdJ3XVx-7aca-0.jpg
07Hd7DMxEU,"{'type': 'Necklace', 'color': ['Gold'], 'pendant': 'Stone', 'material': ['Unknown metal'], 'condition': 'Very good', 'demography': 'Women', 'measurement': {'lengthInCm': 50}}",Accessories > Jewelry > Necklaces,https://prod.files.sellpy.net/photoRobot-manual-sels-g-1/07Hd7DMxEU-b3f2-single.jpg
07kTmzFCyA,"{'size': 'MEN-INT-S', 'type': 'Shirt', 'brand': 'Michael Kors', 'color': ['Blue'], 'model': 'Slim Fit', 'defects': [{'id': '4673411551', 'type': 'Dirty', 'location': 'Cuff'}, {'id': '1181711175', 'type': 'Dirty', 'location': 'Collar/neckline'}], 'pattern': 'Monochrome', 'material': ['Cotton', 'Elastane'], 'condition': 'Acceptable', 'demography': 'Men', 'sleeveLength': 'Long sleeves'}",Clothing > Shirts & Blouses > Shirts,https://prod.files.sellpy.net/photoRobot-standard-williams-g-4/07kTmzFCyA-d3b5-0.jpg
07s60b12jt,"{'size': 'WMN-EU-36', 'type': 'Dress', 'brand': 'H&M', 'color': ['Gray', 'Multicolored'], 'pattern': 'Other', 'material': ['Polyester'], 'condition': 'Good', 'productId': '0369207', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-calvaire-g-3/07s60b12jt-7897-0.jpg
088LN4cvkK,"{'size': 'WMN-INT-XS', 'type': 'Skirt', 'brand': 'Zara', 'color': ['Beige'], 'fabric': 'Linen', 'pattern': 'Monochrome', 'condition': 'Very good', 'demography': 'Women', 'measurement': {'waistInCm': 70}, 'garmentLength': 'Midi'}",Clothing > Skirts,https://prod.files.sellpy.net/photoRobot-hanging-space/088LN4cvkK-c1e8-0.jpg
08efidET2r,"{'type': 'Canvas bag', 'color': ['Orange', 'Multicolored'], 'pattern': 'Floral', 'condition': 'Good', 'demography': 'Unisex (Adults)', 'measurement': {'depthInCm': 11, 'widthInCm': 20, 'heightInCm': 20}}",Accessories > Bags,https://prod.files.sellpy.net/photoRobot-case-foley-g-2/08efidET2r-cc56-0.jpg
08fJzwm6T8,"{'size': 'WMN-INT-M', 'type': 'Rain jacket', 'brand': 'Vitage', 'color': ['Pink'], 'pattern': 'Monochrome', 'material': ['Polyurethane', 'Polyester'], 'condition': 'Very good', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Jackets & Outerwear > All round jackets,https://prod.files.sellpy.net/photoRobot-standard-fotohof-g-1/08fJzwm6T8-01ce-0.jpg
08meCEHSi5,"{'size': 'WMN-INT-M', 'type': 'Dress', 'brand': 'H&M Basic', 'color': ['Black'], 'pattern': 'Monochrome', 'material': ['Viscose', 'Elastane'], 'neckline': 'Round neck', 'condition': 'Good', 'productId': '0767605', 'variantId': '0767605014004', 'demography': 'Women', 'sleeveLength': 'Sleeveless', 'garmentLength': 'Midi'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-fotohof-g-1/08meCEHSi5-c7c4-0.jpg
09AoBDnlkO,"{'size': 'WMN-INT-XS', 'type': 'Tank Top', 'brand': 'Odd Molly', 'color': ['Beige'], 'defects': [{'id': '3497161341', 'type': 'Repair', 'location': 'Left side'}, {'id': '3928395777', 'type': 'Dirty', 'location': 'Whole item'}], 'material': ['Cotton'], 'condition': 'Acceptable', 'demography': 'Women', 'sleeveLength': 'Sleeveless'}",Clothing > T-shirts & Tank tops > Short-sleeved,https://prod.files.sellpy.net/photoRobot-standard-fomu-g-1/09AoBDnlkO-40de-0.jpg
09hPe0XaCD,"{'size': 'WMN-EU-38', 'type': 'Maxi skirt', 'brand': 'Acne', 'color': ['Multicolored', 'Turquoise'], 'model': 'Mae Print PSS12', 'pattern': 'Other', 'material': ['Polyester'], 'condition': 'Good', 'demography': 'Women', 'measurement': {'waistInCm': 82}, 'garmentLength': 'Maxi'}",Clothing > Skirts,https://prod.files.sellpy.net/photoRobot-hanging-exposed-g-2/09hPe0XaCD-1910-single.jpg
09kvZsoWcw,"{'size': 'CHILD-CM-74/80', 'type': 'Swim shirt', 'brand': 'Polarn O. Pyret', 'color': ['Blue'], 'pattern': 'Other', 'material': ['Polyamide', 'Elastane'], 'condition': 'Good', 'demography': 'Unisex (Kids)'}",Clothing > Swimwear > UV protection,https://prod.files.sellpy.net/photoRobot-fixed-morat-g-3/09kvZsoWcw-2c59-0-timed-sequence.jpg
09odSBV46W,"{'size': 'PANTS-INCH-26', 'type': 'Jeans', 'brand': 'Tiger of Sweden Jeans', 'color': ['Black'], 'defects': [{'id': '4126104237', 'type': 'Washed out'}], 'pattern': 'Monochrome', 'material': ['Modal', 'Cotton'], 'pantsFit': 'Slim', 'condition': 'Acceptable', 'waistRise': 'High', 'demography': 'Women', 'measurement': {'waistInCm': 60}}",Clothing > Pants & Jeans > Jeans,https://prod.files.sellpy.net/photoRobot-hanging-open-g-2/09odSBV46W-c96a-0.jpg
