user_objectid,item_objectid,interaction_type,createdat
00GBB2MzDG,u685uEW0cz,wishlist,2022-05-16T09:46:02.591Z
00sA2GbESQ,ovEjN7PU7t,wishlist,2022-07-23T14:04:27.065Z
021wV47ifb,nvnuKWgZOz,wishlist,2022-06-21T07:00:16.931Z
00GBB2MzDG,zH0mQbVaxi,wishlist,2022-05-14T15:03:53.420Z
02dHfPLkuN,NKbBpuQaRr,order,2022-04-08T16:59:28.764Z
00momJS8qJ,UbNloXr3gE,wishlist,2022-11-29T19:37:22.212Z
01yzaGijlt,NZ2FtPPJqE,wishlist,2023-01-15T15:27:44.669Z
00SKNKLWj4,c2dKOBBdw6,wishlist,2022-04-07T18:09:16.469Z
00EblWiOYS,YvvXgdKfRQ,wishlist,2022-03-06T19:27:40.866Z
01d8CuzSnr,sR7eDVFbxV,wishlist,2022-02-28T15:07:24.669Z
00EblWiOYS,2RGddqZv68,order,2023-01-29T19:27:03.803Z
01X6NqAFN8,dNB1PPApTk,wishlist,2022-08-28T09:07:49.713Z
0013MOFg0A,KArORjGfFV,wishlist,2022-10-25T20:10:07.183Z
00SKNKLWj4,XVyCDlpRcb,order,2022-02-07T17:08:41.308Z
00EblWiOYS,B4H8bCl34b,wishlist,2022-10-30T09:46:30.956Z
00pzdpRTGa,jppPggXbJt,wishlist,2022-10-17T08:37:23.255Z
02Jcs0IQUy,tDH94AQQBf,wishlist,2022-03-21T16:21:19.409Z
01d8CuzSnr,i812rL62MY,wishlist,2022-07-06T13:39:19.338Z
01JhVdPfLS,6nc1B9JyHv,wishlist,2022-09-19T08:38:11.671Z
0013MOFg0A,4TzRPWGWFa,wishlist,2022-09-26T11:33:56.848Z
00E53mf0Dd,bVxvPUS9mI,order,2022-02-10T21:37:52.026Z
00AUUVV05g,5gLPDlBsex,wishlist,2022-12-16T22:05:14.567Z
01kGQpzODN,jLRckWnfvM,order,2022-09-16T09:55:19.324Z
027icITZkB,BGTXmNOvcl,wishlist,2022-01-04T16:52:11.061Z
00EblWiOYS,AmnvTivOth,wishlist,2022-03-06T19:37:11.250Z
01d8CuzSnr,QUJIfzB956,wishlist,2022-02-26T22:45:02.635Z
01d8CuzSnr,sAhoRAcD7S,wishlist,2022-02-27T03:28:47.083Z
01mTOYFHtm,0qKzDcS453,order,2022-05-08T16:16:28.095Z
025g6fEkki,8RacaPj678,wishlist,2022-05-08T20:36:22.692Z
01JhVdPfLS,7VHou8HoJc,order,2022-08-25T17:16:23.814Z
00EblWiOYS,SPBxrr04vs,wishlist,2022-08-14T09:10:15.045Z
00pzdpRTGa,B2flKmDX0L,wishlist,2022-07-17T16:11:04.502Z
01jmCANold,OTX6qIsgM5,wishlist,2023-01-08T13:07:43.630Z
01sejtnIeM,0GjyQyvkcH,wishlist,2022-05-03T21:56:37.241Z
01d8CuzSnr,jZEWzlQamV,wishlist,2022-08-26T08:20:51.480Z
01YK6HjAqV,2fUUwT57jS,order,2022-03-25T08:04:32.366Z
00zkN5iqEq,orHiDUB2Bx,wishlist,2022-10-19T12:27:51.861Z
00EblWiOYS,CznNUeRFQk,wishlist,2023-01-24T09:17:24.676Z
00EblWiOYS,oJcaBP9MTN,wishlist,2022-04-01T11:17:33.774Z
01lhwBQB8D,3dFk1HwT2Z,wishlist,2022-10-18T20:49:46.960Z
01JhVdPfLS,rCrr0qLpxi,wishlist,2022-05-06T17:46:26.922Z
02dSnWTUGU,ZnRCycHmg3,wishlist,2022-08-17T01:06:04.222Z
027icITZkB,J7qC0YDJ46,order,2022-10-29T11:24:23.002Z
0013MOFg0A,z4ETKt8hhz,wishlist,2022-02-11T11:29:27.115Z
00pzdpRTGa,9ZFbjtLv0z,wishlist,2022-10-13T20:22:45.227Z
01mTOYFHtm,lOxZLy3NG9,wishlist,2022-05-08T20:34:06.616Z
00SKNKLWj4,TjDsixIAHc,wishlist,2022-06-19T10:56:43.469Z
01wENA8Usq,HHRHPf0Kcy,wishlist,2022-04-12T07:15:45.355Z
01q8jOW3RA,LdzTKnjtEo,wishlist,2022-09-22T11:52:56.126Z
01yzaGijlt,Mgm0rKYc4S,wishlist,2022-08-01T16:29:30.455Z
0134WuQD06,gI427hPqaG,wishlist,2022-12-19T16:58:33.563Z
00pzdpRTGa,DPv5jXkqHH,wishlist,2022-04-17T20:09:21.415Z
0013MOFg0A,N4ebZ05aBq,wishlist,2022-02-06T15:00:41.264Z
00SKNKLWj4,ESLv1eTNGP,order,2022-02-07T17:08:41.308Z
01lhwBQB8D,9uNp7T8twP,wishlist,2023-01-26T09:32:54.026Z
01yzaGijlt,w7Rlk4jeFQ,wishlist,2023-01-20T21:21:17.573Z
023F4WnkL8,JBwamNps5U,wishlist,2022-04-03T00:05:44.844Z
01d8CuzSnr,ySKcUN2yMP,wishlist,2022-08-22T10:12:21.729Z
017ELJSO4K,oIH7D3pm1m,wishlist,2022-10-02T20:47:39.558Z
00AUUVV05g,Uo187DabWc,wishlist,2022-12-16T22:09:46.942Z
00AUUVV05g,Az7N3vFahk,order,2022-12-20T15:38:40.991Z
01d8CuzSnr,j3uIyVRdNd,wishlist,2022-04-02T02:11:52.099Z
00momJS8qJ,jQp9DQNAaw,wishlist,2023-02-04T13:25:13.524Z
01yzaGijlt,wousQBiW9o,wishlist,2023-01-19T17:12:18.939Z
024U2SeIWY,9aT0suTVuS,wishlist,2022-01-20T21:16:14.276Z
01lhwBQB8D,gDQZ10oVL6,wishlist,2022-12-07T21:30:40.607Z
00momJS8qJ,VWDgoTbevF,wishlist,2022-11-27T19:11:57.107Z
01FoJXnqem,J3eDquk1K9,wishlist,2022-07-10T07:17:36.062Z
00sA2GbESQ,rNnI4SwN2G,wishlist,2022-07-23T15:04:02.983Z
00pzdpRTGa,Wp4uJAkYdp,wishlist,2023-01-09T09:42:18.345Z
02dSnWTUGU,U9pJzQjEnK,order,2022-12-07T12:24:10.539Z
01EaGceDtq,a1zpww1ZGN,wishlist,2022-05-12T19:04:53.205Z
00Rj3isAnt,H5nBhdtbwn,order,2022-09-01T10:19:07.764Z
01z8JquScq,tZXpWIJ3jf,wishlist,2023-01-22T22:13:56.554Z
01Oceyt3ZP,g1wALjU5VQ,wishlist,2022-06-23T04:32:09.955Z
01EaGceDtq,iWkIeiT89r,wishlist,2022-06-04T11:03:23.459Z
00EblWiOYS,qihI1LGcAV,wishlist,2022-08-21T15:27:12.546Z
01d8CuzSnr,Eror9OjDEW,wishlist,2022-11-25T18:24:18.290Z
027icITZkB,XB5NtOsZP1,wishlist,2022-05-26T07:57:38.955Z
01wENA8Usq,W438zKkqfd,wishlist,2022-03-23T08:29:49.670Z
0013MOFg0A,qyOKHNErGC,wishlist,2022-11-10T16:08:57.034Z
027icITZkB,hFS3AC9ghw,wishlist,2022-10-29T10:45:08.652Z
024U2SeIWY,hbItz8pZgl,wishlist,2022-07-29T08:23:50.298Z
01d8CuzSnr,IaB5Y2VCWU,wishlist,2022-04-16T22:22:33.980Z
01ZGmUnTfW,z3j8HigJs3,wishlist,2022-05-07T19:55:52.764Z
0013MOFg0A,wv6T5ERupK,wishlist,2022-08-20T22:07:06.034Z
027icITZkB,S6ymd0UUAL,wishlist,2023-01-25T10:09:04.771Z
027icITZkB,m97QiDgSX9,wishlist,2022-12-14T16:40:48.419Z
024U2SeIWY,R8FrTlH6of,wishlist,2022-12-09T06:34:41.759Z
00pzdpRTGa,CqKa91sCWN,wishlist,2022-09-19T06:52:17.760Z
00yFFcvNEL,v2qXiILMCu,order,2022-06-17T12:48:37.707Z
00sA2GbESQ,rEvEwO7Az2,wishlist,2022-10-03T15:52:35.556Z
00EblWiOYS,ClpzinVDFl,wishlist,2022-12-18T19:36:11.675Z
00sA2GbESQ,6y7SXQtYC4,wishlist,2022-10-16T11:44:55.775Z
00AUUVV05g,Aoy1BUCSA1,wishlist,2023-01-25T18:56:47.793Z
02c2pzx1A8,GPUgziS3sI,wishlist,2022-12-18T14:19:09.051Z
00A1P3WzSF,O4qMaeIFHy,wishlist,2022-11-10T21:07:39.759Z
01d8CuzSnr,0rmJkvFBGL,wishlist,2022-02-26T16:34:44.595Z
02hko5ZHqe,o9hcWWkPsE,order,2022-07-04T12:00:41.503Z
02Dy1IiAeG,0knhyVb1ep,wishlist,2022-09-14T12:38:05.965Z
00pzdpRTGa,TLd2Kyqck3,wishlist,2022-10-21T16:05:05.395Z
01lhwBQB8D,yUJQFczbv6,wishlist,2022-11-05T19:12:43.291Z
00K5oCeUZJ,DvmATs9HMD,wishlist,2023-01-17T11:51:35.027Z
00momJS8qJ,XOY9MMVqfh,wishlist,2022-12-18T13:08:41.997Z
0134WuQD06,IWAO82Iqb3,wishlist,2022-09-24T16:30:44.232Z
02BHodZVKi,6zU129kDSC,wishlist,2022-09-01T13:31:45.305Z
01FVdvoOFq,oQB5mmzcD9,order,2022-11-17T20:25:06.925Z
01JhVdPfLS,DKVI5xdCTT,wishlist,2022-09-23T10:15:40.652Z
00pzdpRTGa,XZ3lQSyhYA,wishlist,2023-01-22T12:09:46.103Z
01JhVdPfLS,99UYQOlWpf,wishlist,2022-09-07T20:46:12.333Z
00GBB2MzDG,CHRu3F7SwY,wishlist,2022-09-03T19:50:46.663Z
00EblWiOYS,rexFDPvJIt,wishlist,2022-09-11T17:16:48.156Z
00pzdpRTGa,JvLwU2ZHfB,wishlist,2023-01-26T11:27:42.963Z
00EblWiOYS,adELdO4MLD,wishlist,2022-01-06T18:12:53.646Z
01lhwBQB8D,pDitsyut9c,wishlist,2022-10-03T12:51:29.836Z
024U2SeIWY,wGwMeAi50Y,wishlist,2022-05-31T12:09:46.491Z
02Dy1IiAeG,YcMamul2KR,wishlist,2022-08-17T15:46:47.470Z
01d8CuzSnr,wbwEKKqnM2,wishlist,2022-05-11T10:23:48.266Z
01d8CuzSnr,Fm8P5bXYJE,wishlist,2022-11-25T18:09:42.445Z
01gTqvmNCG,O6vIxK5vSf,wishlist,2022-05-18T07:49:35.860Z
01yzaGijlt,d5WWEHPhsG,wishlist,2023-01-20T19:48:01.365Z
01q8jOW3RA,IeI1TI9dZL,order,2022-09-23T11:40:06.693Z
01d8CuzSnr,NEJqpOSB2V,wishlist,2022-05-07T01:34:42.182Z
021wV47ifb,wse3TGdUYV,wishlist,2022-08-04T11:58:00.952Z
00EblWiOYS,0PQlIryXz3,wishlist,2023-01-03T14:58:24.520Z
024U2SeIWY,QRx9NUVRuh,wishlist,2022-01-20T21:54:48.150Z
01JhVdPfLS,QcP1DDV9iv,wishlist,2022-06-11T22:31:31.066Z
00AUUVV05g,TWymwZFIKn,wishlist,2023-01-28T16:08:25.287Z
00EblWiOYS,RWdcRlv2Ai,wishlist,2022-08-21T15:10:57.263Z
021wV47ifb,bKszCUAbFF,wishlist,2022-07-03T05:42:13.509Z
025g6fEkki,ihApkdvpMd,order,2022-05-08T21:49:28.027Z
0013MOFg0A,OQhUlpuoF2,wishlist,2022-02-06T14:38:57.074Z
01z8JquScq,eAsD9XrCOP,wishlist,2022-12-01T21:48:56.679Z
00EblWiOYS,wHfZnN6zkn,wishlist,2023-01-02T13:21:46.140Z
01EaGceDtq,xaIrXkoXfj,wishlist,2022-01-28T15:31:13.574Z
01d8CuzSnr,ieVCnYGTR2,wishlist,2022-11-26T09:49:47.217Z
01YK6HjAqV,RerTo7OKFh,order,2022-11-30T12:02:06.898Z
00pzdpRTGa,yoEenZxoed,wishlist,2022-08-30T07:39:47.088Z
00SKNKLWj4,OCExMARKA5,wishlist,2022-04-07T18:09:59.271Z
01yzaGijlt,VhBHCghVdI,wishlist,2022-08-03T17:59:21.870Z
024U2SeIWY,odsqELu5Nb,wishlist,2022-11-21T10:08:27.201Z
01lhwBQB8D,bxorCPNg8r,wishlist,2022-10-11T11:51:58.984Z
024U2SeIWY,xfvtSVaYsH,wishlist,2022-06-16T16:29:13.441Z
0013MOFg0A,06DtLp1QC4,wishlist,2022-02-10T19:48:35.485Z
021wV47ifb,83rOVa45y4,wishlist,2022-07-23T09:18:57.821Z
00SKNKLWj4,ippz2O87Lk,wishlist,2022-06-04T08:58:57.560Z
00EblWiOYS,s7PEmt6evs,wishlist,2022-09-11T16:19:40.809Z
02dSnWTUGU,9FToUaV6Hq,wishlist,2022-08-17T00:19:16.325Z
00K5oCeUZJ,xXn8fdMDTi,order,2022-05-12T06:04:15.972Z
00pzdpRTGa,8mRZ0H2ogj,wishlist,2023-02-01T07:50:30.711Z
02gjtNrh9u,CgCIRhlwyE,wishlist,2022-09-05T20:01:41.975Z
01X6NqAFN8,BoqmeBC0Gz,wishlist,2023-01-15T19:01:51.364Z
00sA2GbESQ,iaAIo1zQ2y,wishlist,2022-10-26T22:04:10.513Z
015zlIWSjz,C333SHIBBD,order,2022-10-23T18:14:05.351Z
027icITZkB,1tTknJwIsl,wishlist,2022-10-22T09:34:55.369Z
0013MOFg0A,JHF8oznLDY,wishlist,2023-01-30T09:32:05.456Z
018txfRAJi,MTvDtYNEQl,order,2022-05-22T19:59:20.715Z
00sA2GbESQ,vh9cLSLYGf,wishlist,2022-10-27T18:54:53.545Z
01d8CuzSnr,VlPG7lUixM,wishlist,2022-11-26T09:57:04.246Z
01d8CuzSnr,Gi2J6bDSex,wishlist,2022-04-02T06:06:21.316Z
01yzaGijlt,mf0jXATJ11,wishlist,2023-01-20T21:21:36.487Z
02gRmHJxLQ,dMdtXOZkde,order,2022-07-01T13:15:17.304Z
02Jcs0IQUy,XbKXxcTOg4,order,2022-01-24T21:56:22.918Z
027icITZkB,mahZfBjJWE,wishlist,2023-01-22T09:34:12.367Z
01ZGmUnTfW,9cA9FXpJ1o,wishlist,2022-11-28T19:59:22.514Z
00EblWiOYS,CEWAfPkejL,wishlist,2022-05-05T08:33:18.423Z
01q8jOW3RA,6D5SDrbwH0,wishlist,2022-09-22T11:46:58.383Z
027icITZkB,yWOiBOozvm,wishlist,2023-01-20T21:11:23.476Z
027icITZkB,ZFuPEicCL3,wishlist,2022-04-26T16:07:04.029Z
017ELJSO4K,UkxzlYGZGx,order,2022-10-07T19:22:21.547Z
00nJAWWlGM,cwaSMkcNy8,wishlist,2022-09-07T15:17:26.306Z
00K5oCeUZJ,lGQq0SGby1,wishlist,2022-07-11T07:30:02.289Z
021anu8r12,UOlu2FHWWH,wishlist,2022-08-09T17:03:51.361Z
00YZLSBAuN,MMCzECOaUs,order,2022-01-11T18:04:19.147Z
00EblWiOYS,cRkUmMfJwj,wishlist,2022-09-27T13:02:41.733Z
02GGag0IFi,MfQPywACst,order,2022-12-06T09:32:12.083Z
01JhVdPfLS,BfoTqA1Sqf,wishlist,2023-01-21T22:50:41.607Z
023F4WnkL8,Tz2Htzyx6B,wishlist,2022-12-08T09:07:02.576Z
01d8CuzSnr,yC4TcCb1OH,wishlist,2022-05-16T17:29:51.294Z
01gTqvmNCG,6jXz8amRTN,wishlist,2022-08-08T14:03:46.200Z
0013MOFg0A,2MDoz5iVUG,order,2022-02-12T16:30:32.694Z
01d8CuzSnr,cmf1tTCz8h,wishlist,2022-11-26T09:20:07.141Z
00Rj3isAnt,OhRFnhM0Ox,order,2022-09-01T10:19:07.764Z
024U2SeIWY,9J9ADnoWtF,wishlist,2022-08-25T09:45:26.900Z
02Dy1IiAeG,nLO85YB6Nb,wishlist,2022-09-14T13:18:26.520Z
018txfRAJi,zOxABfsnw1,wishlist,2022-06-15T07:03:51.920Z
